Date,Expiration,Strike,CallPut,Bid,Ask,Rate,Spot,Fwd,TTE
2019-12-06,2020-01-17,4000.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4100.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4200.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4300.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4400.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4500.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4600.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4700.0,P,0.0,0.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4800.0,P,0.0,0.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,4900.0,P,0.0,0.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5000.0,P,0.0,0.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5050.0,P,0.0,0.35,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5100.0,P,0.0,0.35,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5150.0,P,0.0,0.35,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5200.0,P,0.0,0.35,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5250.0,P,0.0,0.4,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5300.0,P,0.0,0.4,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5350.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5400.0,P,0.0,0.25,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5450.0,P,0.05,0.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5500.0,P,0.3,0.5,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,5550.0,P,0.1,0.35,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
